label_names,label_ids
Home Appliances,100010
Fashion Accessories,100009
Mobile & Gadgets,100013
Beauty,100630
Travel & Luggage,100015
Home & Living,100636
Mom & Baby,100632
Stationery,100638
Gaming & Consoles,100634
Audio,100535
Health,100001
Motorcycles,100641
Women Clothes,100017
Food & Beverages,100629
Sports & Outdoors,100637
Baby & Kids Fashion,100633
Men Clothes,100011
Books & Magazines,100643
Pets,100631
Computers & Accessories,100644
Automobiles,100640
Women Shoes,100532
Watches,100534
Hobbies & Collections,100639
Women Bags,100016
Men Shoes,100012
Cameras & Drones,100635
"Tickets, Vouchers & Services",100642
Muslim Fashion,100014
Men Bags,100533
