feature_method,title_name,label_name,data_size,vocab_size,accuracy,train_time
CountVectorizer,spacy_tokenized_name,level1_global_be_category_id,87123,58037,0.8432470071507003,133.69814109802246
CountVectorizer,nltk_tokenized_name,level1_global_be_category_id,87123,58607,0.8445057446637564,133.89496207237244
CountVectorizer,remove_prefix,level1_global_be_category_id,87123,57913,0.8426845925172072,135.02520990371704
CountVectorizer,remove_prefix_emoji,level1_global_be_category_id,87123,57912,0.8431398805538445,133.40184593200684
CountVectorizer,remove_prefix_emoji_symbol,level1_global_be_category_id,87122,57912,0.8445325263129704,133.27874422073364
TfidfVectorizer,spacy_tokenized_name,level1_global_be_category_id,87123,58037,0.8416133265486488,113.42743611335754
TfidfVectorizer,nltk_tokenized_name,level1_global_be_category_id,87123,58607,0.8435683869412678,114.5327501296997
TfidfVectorizer,remove_prefix,level1_global_be_category_id,87123,57913,0.8413455100565093,115.72799110412598
TfidfVectorizer,remove_prefix_emoji,level1_global_be_category_id,87123,57912,0.8401671174910951,112.70643925666809
TfidfVectorizer,remove_prefix_emoji_symbol,level1_global_be_category_id,87122,57912,0.843461260344412,112.49040603637695
